Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1996-08-22,15.0672,15.0672,15.0672,15.0672,61033.44986493
1996-08-23,16.5903,16.5903,16.5903,16.5903,0
1996-08-26,17.2982,17.2982,17.2982,17.2982,123335.82395533
1996-08-27,16.5903,16.5903,16.5903,16.5903,221223.52731578
1996-08-28,16.5903,16.5903,16.5903,16.5903,25221.158538281
1996-08-29,16.2358,16.2358,16.2358,16.2358,48872.926037545
1996-08-30,16.7655,16.7655,16.7655,16.7655,20840.532934715
1996-09-02,16.7655,16.7655,16.7655,16.7655,7248.6006822619
1996-09-03,16.6615,16.6615,16.6615,16.6615,25966.522565028
1996-09-04,16.4498,16.4498,16.4498,16.4498,17718.515099498
1996-09-05,15.7737,15.7737,15.7737,15.7737,5730.7919288333
1996-09-06,15.5247,15.5247,15.5247,15.5247,89201.246467429
1996-09-09,15.3494,15.3494,15.3494,15.3494,18438.087983451
1996-09-10,15.703,15.703,15.703,15.703,15791.916732784
1996-09-11,15.703,15.703,15.703,15.703,6173.1100277509
1996-09-12,16.0582,16.0582,16.0582,16.0582,9679.4158905991
1996-09-13,16.7655,16.7655,16.7655,16.7655,10913.522073293
1996-09-16,16.9445,16.9445,16.9445,16.9445,12454.542855237
1996-09-17,16.9445,16.9445,16.9445,16.9445,17470.920128675
1996-09-18,16.9445,16.9445,16.9445,16.9445,22367.368588122
1996-09-19,16.6615,16.6615,16.6615,16.6615,8369.2258366624
1996-09-20,16.6615,16.6615,16.6615,16.6615,26888.555919915
1996-09-23,16.6615,16.6615,16.6615,16.6615,23586.00008514
1996-09-24,16.836,16.836,16.836,16.836,21288.009262192
1996-09-25,16.6615,16.6615,16.6615,16.6615,16921.568787162
1996-09-26,18.2892,18.2892,18.2892,18.2892,261573.77021704
1996-09-27,17.0152,17.0152,17.0152,17.0152,46015.267415967
1996-09-30,17.2982,17.2982,17.2982,17.2982,15062.027391713
1996-10-01,16.5903,16.5903,16.5903,16.5903,45269.90338922
1996-10-02,18.2195,18.2195,18.2195,18.2195,56452.942904711
1996-10-03,18.0775,18.0775,18.0775,18.0775,20774.76552059
1996-10-04,17.831,17.831,17.831,17.831,21565.264047227
1996-10-07,18.1853,18.1853,18.1853,18.1853,98759.443986896
1996-10-08,18.4683,18.4683,18.4683,18.4683,14737.058992508
1996-10-09,18.611,18.611,18.611,18.611,16416.062388399
1996-10-10,18.7149,18.7149,18.7149,18.7149,22313.207188254
1996-10-11,18.8941,18.8941,18.8941,18.8941,26375.312178314
1996-10-14,19.0694,19.0694,19.0694,19.0694,9176.4886061155
1996-10-15,19.0694,19.0694,19.0694,19.0694,23669.82129922
1996-10-16,19.0694,19.0694,19.0694,19.0694,17695.303070983
1996-10-17,19.0694,19.0694,19.0694,19.0694,17824.258784953
1996-10-18,19.4982,19.4982,19.4982,19.4982,15010.445106125
1996-10-21,18.7149,18.7149,18.7149,18.7149,9242.2560202403
1996-10-22,18.7149,18.7149,18.7149,18.7149,48722.0478522
1996-10-23,19.4268,19.4268,19.4268,19.4268,27098.753733686
1996-10-24,18.9972,18.9972,18.9972,18.9972,58823.148927482
1996-10-25,19.0694,19.0694,19.0694,19.0694,5635.3647004953
1996-10-28,18.7149,18.7149,18.7149,18.7149,3231.6301920918
1996-10-29,18.611,18.611,18.611,18.611,40168.415344561
1996-10-30,18.611,18.611,18.611,18.611,48945.141237369
1996-10-31,19.4982,19.4982,19.4982,19.4982,178853.83793375
1996-11-04,19.0694,19.0694,19.0694,19.0694,19086.735224721
1996-11-05,18.7149,18.7149,18.7149,18.7149,18622.494654429
1996-11-06,19.0694,19.0694,19.0694,19.0694,54408.994838284
1996-11-07,19.0694,19.0694,19.0694,19.0694,34137.156602177
1996-11-08,18.8235,18.8235,18.8235,18.8235,31082.195738224
1996-11-12,18.8235,18.8235,18.8235,18.8235,32011.966435949
1996-11-13,18.611,18.611,18.611,18.611,22920.588601054
1996-11-14,18.8941,18.8941,18.8941,18.8941,45152.553689507
1996-11-15,18.8941,18.8941,18.8941,18.8941,113188.29882302
1996-11-18,19.0694,19.0694,19.0694,19.0694,20429.16420715
1996-11-19,19.0694,19.0694,19.0694,19.0694,7024.2177399538
1996-11-20,19.0694,19.0694,19.0694,19.0694,43963.582006702
1996-11-21,19.0694,19.0694,19.0694,19.0694,29410.929685171
1996-11-22,18.611,18.611,18.611,18.611,84175.842294012
1996-11-25,18.611,18.611,18.611,18.611,67979.004619362
1996-11-26,18.611,18.611,18.611,18.611,62005.775948265
1996-11-27,18.611,18.611,18.611,18.611,18053.79995582
1996-11-28,19.0694,19.0694,19.0694,19.0694,30830.732095982
1996-11-29,19.0694,19.0694,19.0694,19.0694,58146.131429139
1996-12-02,19.0694,19.0694,19.0694,19.0694,104374.17577316
1996-12-03,17.7231,17.7231,17.7231,17.7231,16075.619303518
1996-12-04,18.1853,18.1853,18.1853,18.1853,65686.172024973
1996-12-05,17.831,17.831,17.831,17.831,10874.835359102
1996-12-06,17.1199,17.1199,17.1199,17.1199,4811.3376882261
1996-12-09,17.7231,17.7231,17.7231,17.7231,77387.613510624
