Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2001-02-27,10.3555,10.3555,9.96409,10.0231,682312.38143019
2001-02-28,9.85274,10.1041,9.77083,10.0517,988169.22471933
2001-03-01,9.85274,9.91088,9.62425,9.7111,1230626.8352659
2001-03-02,9.68324,9.93381,9.68324,9.85274,1639993.5023164
2001-03-05,9.88134,10.1925,9.88134,10.1925,1471929.1122831
2001-03-06,10.3555,10.4734,10.3032,10.444,1444561.3860053
2001-03-07,10.4153,10.584,10.3325,10.5258,1047610.2799053
2001-03-08,10.584,10.6134,10.2442,10.2442,570579.66057267
2001-03-09,10.2442,10.2442,9.91088,9.93381,995590.96029833
2001-03-12,9.85274,9.91088,9.54076,9.62425,1326789.4216991
2001-03-13,9.60049,10.0231,9.60049,9.93381,1655608.8242043
2001-03-14,9.96409,10.0231,9.5129,9.65295,2413143.6771693
2001-03-15,9.74222,10.2155,9.68324,10.2155,1193227.4920644
2001-03-16,10.1336,10.3032,10.0517,10.1925,1176423.8620115
2001-03-19,10.1925,10.3325,10.1041,10.1041,1353691.8392298
2001-03-20,10.2745,10.4734,10.1925,10.4153,912428.92927708
2001-03-21,10.2155,10.4734,10.1925,10.3325,663642.63125805
2001-03-22,10.2442,10.2442,10.0231,10.0754,1242783.4842626
2001-03-23,10.3555,10.4153,10.2745,10.3325,837263.85803388
2001-03-26,10.444,10.5258,10.3555,10.4153,1019922.5775339
2001-03-27,10.3032,10.385,10.1925,10.3032,740794.72961775
2001-03-28,10.3032,10.5569,10.3032,10.3555,1033499.5784277
2001-03-29,10.3032,10.385,10.2155,10.3325,499957.76134755
2001-03-30,10.3325,10.385,10.2745,10.3032,543153.31272052
2001-04-02,10.2442,10.3032,10.0754,10.1336,491660.36600056
2001-04-03,9.96409,9.96409,9.79375,9.85274,989638.4279284
2001-04-04,9.62425,9.77083,9.62425,9.68324,1029890.687752
2001-04-05,9.74222,9.77083,9.68324,9.74222,613968.17462812
2001-04-06,9.82329,10.0517,9.79375,10.0517,988569.80547791
2001-04-09,9.99279,10.0754,9.93381,10.0754,512875.26952906
2001-04-10,10.0754,10.4153,10.0754,10.3325,1092149.2423589
2001-04-11,10.4153,10.5258,10.3555,10.4734,1103579.2280893
2001-04-12,10.4153,10.6953,10.3325,10.5258,997725.7626337
2001-04-17,10.2155,10.444,10.2155,10.4153,557238.36725936
2001-04-18,10.6372,11.036,10.6372,11.036,1171653.5313925
2001-04-19,11.37,11.4863,11.1768,11.1768,1572052.3188385
2001-04-20,11.2063,11.4863,11.0883,11.1178,1446475.1361538
2001-04-23,11.0073,11.1768,10.977,11.0073,741542.15469169
2001-04-24,11.0654,11.0883,10.9484,10.9484,932620.39781871
2001-04-25,10.8959,11.1178,10.8959,11.1178,503969.67534739
2001-04-26,11.1178,11.316,11.0883,11.2063,1066382.6178327
2001-04-27,11.2063,11.37,11.0883,11.1768,1475503.8070403
2001-04-30,11.1481,11.1481,10.4153,10.4734,1660569.6749402
2001-05-02,10.444,10.444,10.0517,10.2745,1578901.272784
2001-05-04,10.1336,10.2155,10.0754,10.1336,897951.84295925
2001-05-07,10.1925,10.3555,10.1925,10.3032,574788.20110339
2001-05-08,10.3032,10.3032,10.0517,10.1631,1044382.4294635
2001-05-09,10.0754,10.1631,10.0231,10.1336,850807.88429208
2001-05-10,10.1336,10.3555,10.1336,10.3032,819613.87900021
2001-05-11,10.3032,10.385,10.2442,10.3555,808522.18860553
